Name,NOC,Discipline,Gender,Age,BirthDate,EventDate,Venue
  aalerud katrine  ,  Norway  ,,F,21,2004-10-19,2021-08-04,Tokyo Stadium
ABAD NESTOR,  Spain  ,Artistic Gymnastics,M,20,2003-04-09,2021-07-31,Ariake Arena
ABAGNALE GIOVANNI,  Italy  ,Rowing,F,21,1993-01-13,2021-08-03,Musashino Forest
ABALDE ALBERTO,spain,Basketball,M,21,2003-05-03,2021-07-31,Tokyo Stadium
  abalde tamara  ,  Spain  ,Basketball,F,26,1992-03-04,2021-07-24,Tokyo Stadium
  abalo luc  ,  France  ,Handball,F,19,1998-04-15,2021-07-31,Tokyo Stadium
ABAROA CESAR,  Chile  ,Rowing,F,31,1990-01-27,2021-08-02,Musashino Forest
  abass abobakr  ,  Sudan  ,Swimming,M,33,1997-11-30,2021-07-27,Tokyo Stadium
ABBASALI HAMIDEH,islamic republic of iran,Karate,F,23,1999-07-14,2021-07-28,Ariake Arena
ABBASOV ISLAM,azerbaijan,Wrestling,M,23,1994-08-11,2021-07-24,Ariake Arena
  abbingh lois  ,  Netherlands  ,Handball,F,29,2003-03-21,2021-08-05,Musashino Forest
  abbot emily  ,  Australia  ,Rhythmic Gymnastics,M,24,2001-08-11,2021-07-28,Olympic Aquatics Centre
  abbott monica  ,united states of america,Baseball/Softball,M,28,1994-10-28,2021-08-03,Olympic Aquatics Centre
  abdalla abubaker haydar  ,  Qatar  ,Athletics,F,28,1987-02-19,2021-07-30,Ariake Arena
  abdalla maryam  ,  Egypt  ,Artistic Swimming,F,29,2000-06-18,2021-08-01,Ariake Arena
  abdallah shahd  ,egypt,Artistic Swimming,M,32,2000-10-09,2021-08-05,Olympic Aquatics Centre
ABDALRASOOL MOHAMED,sudan,Judo,M,19,1990-07-25,2021-07-27,Olympic Aquatics Centre
ABDEL LATIF RADWA,egypt,Shooting,F,31,1996-11-24,2021-07-27,Olympic Aquatics Centre
  abdel razek samy  ,  Egypt  ,Shooting,M,33,1990-06-03,2021-08-07,Tokyo Stadium
  abdelaziz abdalla  ,egypt,Karate,F,33,1986-07-08,2021-07-29,Olympic Aquatics Centre
ABDELAZIZ FARAH,  Egypt  ,Table Tennis,F,24,2003-08-25,2021-07-27,Musashino Forest
ABDELAZIZ FERYAL,egypt,Karate,F,19,1989-07-17,2021-08-01,Tokyo Stadium
  abdelmawgoud mohamed  ,egypt,Judo,M,29,1995-09-16,2021-07-27,Musashino Forest
  abdelmottaleb diaaeldin kamal gouda  ,egypt,Wrestling,M,33,1998-07-02,2021-08-02,Olympic Aquatics Centre
  abdelrahman ihab  ,  Egypt  ,Athletics,M,33,1992-01-21,2021-07-26,Musashino Forest
ABDELSALAM MOHAMED,  Egypt  ,Football,M,20,1996-03-19,2021-08-06,Olympic Aquatics Centre
ABDELSALAM NOUR,  Egypt  ,Taekwondo,F,30,2004-02-16,2021-07-24,Tokyo Stadium
  abdelwahed ahmed  ,italy,Athletics,M,34,1998-04-27,2021-08-01,Ariake Arena
ABDI BASHIR,belgium,Athletics,F,30,1993-11-17,2021-08-01,Tokyo Stadium
  abdirahman abdi  ,  United States of America  ,Athletics,F,29,1996-10-12,2021-08-01,Olympic Aquatics Centre
  abdul hadi farah ann  ,malaysia,Artistic Gymnastics,M,28,1995-11-16,2021-07-25,Ariake Arena
  abdul rahman kiria tikanah  ,singapore,Fencing,F,25,1987-02-16,2021-08-01,Ariake Arena
  abdul razzaq fathimath nabaaha  ,  Maldives  ,Badminton,F,22,1998-06-21,2021-07-29,Tokyo Stadium
ABDULHAMID SAUD,saudi arabia,Football,F,34,2004-10-08,2021-08-07,Musashino Forest
ABDULJABBAR AMMAR RIAD,germany,Boxing,F,29,1999-05-06,2021-07-24,Musashino Forest
ABDULLAEV GULOMJON,uzbekistan,Wrestling,F,31,2000-02-07,2021-08-05,Ariake Arena
ABDULLAEV MUMINJON,uzbekistan,Wrestling,M,25,2005-06-30,2021-07-29,Tokyo Stadium
ABDULLAH RAHMAT ERWIN,indonesia,Weightlifting,F,20,2004-04-15,2021-07-28,Ariake Arena
  abdullin ilfat  ,  Kazakhstan  ,Archery,F,24,1996-07-16,2021-08-07,Musashino Forest
  abdulredha mohamed  ,bahrain,Handball,M,19,1994-03-02,2021-07-24,Olympic Aquatics Centre
  abduraimov elnur  ,uzbekistan,Boxing,M,28,1991-11-05,2021-08-02,Tokyo Stadium
  abdurakhimov rasuljon  ,  Uzbekistan  ,Artistic Gymnastics,M,23,1999-06-14,2021-07-25,Tokyo Stadium
ABDURAKHMONOV BEKZOD,  Uzbekistan  ,Wrestling,M,26,1999-08-19,2021-08-05,Olympic Aquatics Centre
ABE HIFUMI,  Japan  ,Judo,M,26,1988-11-08,2021-07-31,Musashino Forest
  abe takatoshi  ,  Japan  ,Athletics,F,24,1990-11-20,2021-08-04,Tokyo Stadium
ABE UTA,  Japan  ,Judo,M,19,1990-07-12,2021-08-02,Olympic Aquatics Centre
ABEBE MEKIDES,ethiopia,Athletics,F,34,1988-04-25,2021-08-05,Tokyo Stadium
ABEDINI MOJTABA,islamic republic of iran,Fencing,M,18,1991-07-16,2021-07-26,Ariake Arena
ABEL JENNIFER,canada,Diving,F,26,2002-04-06,2021-08-04,Tokyo Stadium
  abela matthew  ,malta,Badminton,F,26,1996-02-28,2021-07-23,Tokyo Stadium
ABELVIK ROED MAGNUS,norway,Handball,F,21,1991-07-12,2021-08-01,Tokyo Stadium
ABEYSINGHE MATTHEW,  Sri Lanka  ,Swimming,M,28,1986-12-14,2021-08-01,Musashino Forest
  abian pablo  ,spain,Badminton,F,26,2002-06-05,2021-08-02,Tokyo Stadium
  abicha mohammed  ,morocco,Beach Volleyball,M,23,1998-10-15,2021-08-02,Ariake Arena
ABICHT LORENA,  Austria  ,Sailing,M,33,2000-01-06,2021-07-27,Musashino Forest
ABIDINE ABIDINE,mauritania,Athletics,M,19,1992-05-08,2021-08-02,Olympic Aquatics Centre
ABLIAZIN DENIS,  ROC  ,Artistic Gymnastics,F,23,2000-11-18,2021-07-29,Musashino Forest
ABOUD HADEL,  Libya  ,Athletics,F,31,2004-11-08,2021-07-25,Musashino Forest
ABOUELKASSEM ALAAELDIN,  Egypt  ,Fencing,F,25,1988-11-17,2021-07-26,Musashino Forest
ABOUKE NANCY GENZEL,  Nauru  ,Weightlifting,F,18,2005-04-09,2021-07-30,Tokyo Stadium
ABRAHAM TADESSE,switzerland,Athletics,F,24,1996-02-21,2021-07-26,Olympic Aquatics Centre
ABRAHAMS RUSTEN JOHN,south africa,Hockey,F,22,1996-05-18,2021-07-24,Musashino Forest
  abrams aliyah  ,guyana,Athletics,M,23,1997-12-25,2021-07-27,Ariake Arena
  abrams jasmine  ,  Guyana  ,Athletics,F,22,2002-05-31,2021-08-04,Tokyo Stadium
ABRAMYAN BENIK,  Georgia  ,Athletics,M,33,2002-01-27,2021-07-27,Olympic Aquatics Centre
ABREU DIOGO,  Portugal  ,Trampoline Gymnastics,M,21,2004-02-20,2021-07-24,Ariake Arena
ABRINES REDONDO ALEJANDRO,spain,Basketball,F,32,1990-08-05,2021-07-28,Ariake Arena
  abrosimov kirill  ,  ROC  ,Marathon Swimming,M,32,1994-10-27,2021-08-04,Olympic Aquatics Centre
ABU RABEE ASMA,jordan,Shooting,M,22,1996-01-01,2021-07-27,Ariake Arena
  abu rmilah wesam  ,  Palestine  ,Judo,F,25,2003-08-06,2021-08-06,Musashino Forest
ABUAKU JOSHUA,  Germany  ,Athletics,F,19,1992-07-16,2021-08-06,Musashino Forest
  abujbara tala  ,  Qatar  ,Rowing,M,24,2003-04-11,2021-07-30,Ariake Arena
ACERENZA DOMENICO,italy,Swimming,F,21,2001-12-01,2021-07-24,Olympic Aquatics Centre
ACETI VLADIMIR,italy,Athletics,M,31,2004-11-08,2021-07-25,Tokyo Stadium
  achab jaouad  ,belgium,Taekwondo,F,29,1994-06-07,2021-08-05,Musashino Forest
ACHANTA KAMAL,  India  ,Table Tennis,M,31,2004-11-24,2021-07-27,Ariake Arena
ACHILLEOS GEORGIOS,  Cyprus  ,Shooting,M,31,1994-03-26,2021-07-28,Ariake Arena
ACHIUWA PRECIOUS,  Nigeria  ,Basketball,F,29,1990-12-13,2021-07-31,Ariake Arena
ACHONWA NATALIE,  Canada  ,Basketball,F,34,2001-10-14,2021-07-25,Olympic Aquatics Centre
